Mid	Mname	Mprice
M0000000	套餐0	6
M0000001	套餐1	6
M0000002	套餐2	10
M0000003	套餐3	10
M0000004	套餐4	12
M0000005	套餐5	12
M0000006	套餐6	12
M0000007	套餐7	12
M0000008	套餐8	11
M0000009	套餐9	11
M0000010	套餐10	11
M0000011	套餐11	11
M0000012	套餐12	6
M0000013	套餐13	6
M0000014	套餐14	7
M0000015	套餐15	6
M0000016	套餐16	8
M0000017	套餐17	28.5
M0000018	套餐18	28
M0000019	套餐19	28
M0000020	套餐20	27
M0000021	套餐21	29
M0000022	套餐22	29.5
M0000023	套餐23	32
M0000024	套餐24	30
M0000025	套餐25	29
M0000026	套餐26	26.5
M0000027	套餐27	26
M0000028	套餐28	26
M0000029	套餐29	25
M0000030	套餐30	27
M0000031	套餐31	27.5
M0000032	套餐32	30
M0000033	套餐33	28
M0000034	套餐34	27
M0000035	套餐35	31.5
M0000036	套餐36	30.5
M0000037	套餐37	26
M0000038	套餐38	27.5
M0000039	套餐39	23
M0000040	套餐40	26
M0000041	套餐41	27.5
M0000042	套餐42	23
M0000043	套餐43	74
